Year Built,Year Remod/Add,Yr Sold,Full Bathrooms,Half Bathrooms,Bedroom AbvGr,Kitchen AbvGr,Fireplaces,Functional,Overall Qual,Overall Cond,Kitchen Qual,House Style,Garage Type,Lot Area,Total Bsmt SF,SalePrice
2001,2001,2008,2.0,1.0,1,1,1,Typ,9,5,Gd,1Story,Attchd,4538,1310.0,285000
2001,2001,2008,2.0,1.0,2,1,1,Typ,9,5,Ex,1Story,Attchd,4385,1419.0,290000
1999,2000,2008,3.0,0.0,2,1,1,Typ,9,5,Ex,1Story,Attchd,4109,1557.0,305000
1999,2000,2008,3.0,0.0,2,1,1,Typ,9,5,Gd,1Story,Attchd,5119,1698.0,328900
1999,2000,2008,3.0,1.0,2,1,0,Typ,7,5,Gd,2Story,Detchd,2160,600.0,160000
1999,1999,2008,3.0,1.0,3,1,0,Typ,8,5,Gd,2Story,Detchd,2645,960.0,170000
1999,2000,2008,3.0,1.0,3,1,0,Typ,8,5,Gd,2Story,Detchd,2645,960.0,200000
1998,1999,2008,3.0,1.0,2,1,1,Typ,10,5,Ex,2Story,Attchd,3951,970.0,345000
1995,1995,2008,2.0,1.0,1,1,1,Typ,8,5,Gd,1Story,Attchd,11064,1230.0,217500
2003,2003,2008,2.0,0.0,1,1,0,Typ,6,5,Gd,1Story,Attchd,4435,848.0,136500
2004,2004,2008,2.0,0.0,1,1,0,Typ,6,5,Gd,1Story,Attchd,4426,848.0,145000
2004,2004,2008,2.0,0.0,1,1,1,Typ,6,5,Gd,1Story,Attchd,4426,848.0,149300
2004,2004,2008,2.0,0.0,1,1,1,Typ,6,5,Gd,1Story,Attchd,4426,848.0,141000
2004,2004,2008,2.0,0.0,1,1,1,Typ,6,5,Gd,1Story,Attchd,4438,848.0,149000
2004,2004,2008,2.0,0.0,1,1,1,Typ,6,5,Gd,1Story,Attchd,4438,848.0,144500
1980,1980,2008,1.0,0.0,2,1,1,Typ,6,6,TA,2Story,Detchd,1879,516.0,116500
1980,1980,2008,3.0,1.0,3,1,1,Typ,6,6,TA,2Story,Attchd,1950,716.0,151000
2008,2008,2008,3.0,1.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,5587,1600.0,392500
2007,2008,2008,3.0,1.0,2,1,1,Typ,8,5,Ex,1Story,Attchd,3843,1596.0,294464
2004,2005,2008,3.0,1.0,2,1,1,Typ,7,5,Ex,1Story,Attchd,3811,1594.0,250000
2004,2005,2008,3.0,1.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,3842,1594.0,275000
1986,1986,2008,3.0,0.0,2,1,1,Typ,7,6,Gd,1Story,Attchd,4084,1277.0,241500
1997,1997,2008,3.0,0.0,2,1,0,Typ,6,5,TA,1Story,Attchd,4500,1189.0,160500
1975,1975,2008,1.0,0.0,3,1,0,Typ,5,6,TA,1Story,Attchd,4224,1040.0,124000
2000,2000,2007,3.0,0.0,2,1,0,Typ,8,5,Ex,1Story,Attchd,5330,1494.0,251000
1986,1986,2007,1.0,1.0,2,1,0,Typ,8,5,Gd,1Story,Attchd,3696,1074.0,170000
1984,1984,2007,3.0,0.0,3,1,1,Min1,7,5,Gd,2Story,Attchd,5062,1190.0,207500
1988,1988,2007,3.0,0.0,2,1,0,Typ,8,5,TA,1Story,Attchd,4740,1166.0,182000
1990,1990,2007,2.0,0.0,1,1,1,Typ,8,5,Gd,1Story,Attchd,5118,1312.0,212000
2006,2006,2007,3.0,0.0,2,1,1,Typ,9,5,Ex,1Story,Attchd,8035,1612.0,319900
2001,2001,2007,2.0,0.0,2,1,1,Typ,6,5,Gd,1Story,Attchd,4113,1337.0,155000
1997,1998,2007,3.0,0.0,2,1,1,Typ,6,5,Gd,1Story,Attchd,10943,1405.0,177000
1973,1973,2007,1.0,1.0,3,1,0,Typ,6,6,TA,2Story,Detchd,2205,525.0,113500
1973,1973,2007,1.0,1.0,3,1,0,Typ,6,5,TA,2Story,Detchd,1890,672.0,113000
1970,1970,2007,2.0,1.0,3,1,0,Typ,5,5,TA,2Story,Detchd,2016,630.0,106000
1971,1971,2007,2.0,1.0,2,1,0,Min1,5,5,TA,2Story,Detchd,1920,765.0,122500
1976,1976,2007,2.0,0.0,2,1,1,Typ,6,5,TA,1Story,Attchd,4928,1078.0,128000
1976,1976,2007,3.0,1.0,3,1,1,Typ,6,6,Gd,2Story,Detchd,2308,804.0,155000
1978,1978,2007,2.0,0.0,2,1,0,Typ,7,7,TA,1Story,Attchd,2304,1061.0,142500
2005,2006,2007,2.0,0.0,2,1,1,Typ,6,5,Gd,1Story,Attchd,7577,1362.0,194700
2005,2006,2007,2.0,1.0,1,1,1,Typ,6,5,Gd,1Story,Attchd,3901,1302.0,204000
2005,2006,2007,2.0,1.0,1,1,1,Typ,6,5,Gd,1Story,Attchd,3903,1302.0,200000
2005,2006,2007,3.0,0.0,2,1,1,Typ,6,5,Gd,1Story,Attchd,6289,1362.0,207000
2006,2006,2007,2.0,0.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,4590,1554.0,209500
2006,2006,2007,2.0,0.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,4590,1554.0,209500
2006,2006,2007,2.0,0.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,6442,1370.0,202500
2005,2005,2007,3.0,0.0,2,1,1,Typ,9,5,Ex,1Story,Attchd,7841,1577.0,280000
2005,2005,2007,3.0,0.0,2,1,1,Typ,9,5,Ex,1Story,Attchd,7313,1561.0,277500
2007,2007,2007,2.0,0.0,2,1,1,Typ,9,5,Ex,1Story,Attchd,7820,1869.0,318061
2006,2006,2007,2.0,0.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,6240,1324.0,221370
2003,2003,2007,3.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3242,1405.0,200000
2006,2007,2007,2.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3922,1258.0,172500
2003,2003,2007,3.0,0.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,3621,1406.0,226500
1992,1992,2007,3.0,0.0,2,1,0,Typ,6,5,Gd,1Story,Attchd,8012,1575.0,179200
2004,2004,2007,3.0,0.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,4379,1378.0,214000
2006,2007,2007,3.0,0.0,2,1,0,Typ,8,5,Gd,1Story,Attchd,3523,1141.0,166000
2006,2007,2007,3.0,0.0,2,1,0,Typ,8,5,Gd,1Story,Attchd,3784,1511.0,193800
2006,2007,2007,2.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,4230,1352.0,208900
2006,2007,2007,3.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3606,1352.0,194000
2006,2007,2007,2.0,1.0,2,1,0,Typ,8,5,Gd,1Story,Attchd,5330,1550.0,207500
2006,2007,2007,2.0,1.0,1,1,0,Typ,7,5,Gd,1Story,Attchd,4274,1241.0,199900
2006,2007,2007,2.0,1.0,2,1,0,Typ,7,5,Gd,2Story,Detchd,4251,625.0,164700
1999,1999,2007,3.0,1.0,3,1,1,Typ,6,5,TA,2Story,Detchd,2280,744.0,176500
1999,1999,2007,2.0,1.0,2,1,1,Typ,6,5,TA,2Story,Detchd,3230,729.0,176000
2000,2000,2007,2.0,1.0,2,1,1,Typ,6,5,Gd,2Story,Detchd,2117,756.0,168500
2000,2000,2007,2.0,1.0,3,1,0,Typ,6,5,Gd,2Story,Detchd,2117,756.0,177000
2000,2000,2007,2.0,1.0,3,1,1,Typ,6,5,Gd,2Story,Detchd,2117,756.0,177000
2004,2004,2007,2.0,1.0,2,1,0,Typ,7,5,Gd,2Story,Detchd,5105,551.0,148800
1999,2000,2007,2.0,1.0,2,1,0,Typ,8,5,Gd,2Story,Detchd,2645,776.0,174000
1994,1995,2007,2.0,1.0,1,1,1,Typ,8,5,Gd,1Story,Attchd,9466,1494.0,279700
1984,1984,2007,2.0,0.0,2,1,0,Typ,5,6,TA,1Story,Attchd,3869,1038.0,130000
2003,2003,2007,2.0,0.0,1,1,0,Typ,6,5,Gd,1Story,Attchd,4435,848.0,131500
1980,1980,2007,1.0,0.0,2,1,1,Typ,6,6,TA,2Story,Detchd,1782,516.0,123900
1988,1988,2007,2.0,0.0,1,1,0,Typ,8,5,TA,1Story,Attchd,3907,1004.0,200000
2006,2007,2007,3.0,1.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,5568,1573.0,375000
2006,2007,2007,3.0,1.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,4750,1573.0,235000
1998,1998,2007,2.0,1.0,1,1,1,Typ,7,5,Gd,1Story,Attchd,9763,1502.0,330000
1976,1976,2007,2.0,0.0,3,1,1,Typ,5,7,TA,1Story,Attchd,4224,1040.0,129900
1976,1976,2007,2.0,1.0,3,1,1,Typ,5,5,TA,1Story,Attchd,4224,1142.0,134000
1987,1987,2006,2.0,0.0,2,1,0,Typ,8,5,TA,1Story,Attchd,3701,1191.0,130000
1987,1987,2006,3.0,0.0,2,1,1,Typ,7,7,Gd,2Story,Attchd,5306,1064.0,239000
2005,2005,2006,3.0,0.0,2,1,1,Typ,9,5,Gd,1Story,Attchd,8147,1714.0,318000
2002,2002,2006,3.0,0.0,2,1,0,Typ,6,5,Gd,1Story,Attchd,8773,1487.0,190000
1973,1973,2006,1.0,1.0,3,1,0,Typ,6,5,TA,2Story,Detchd,2760,525.0,105500
1973,1973,2006,1.0,1.0,3,1,1,Min1,5,6,Gd,2Story,Attchd,2160,765.0,125500
1973,1973,2006,1.0,1.0,2,1,0,Typ,6,5,TA,2Story,Detchd,1953,483.0,83000
1972,1972,2006,1.0,1.0,3,1,0,Typ,6,7,TA,2Story,Detchd,1890,494.0,116000
1972,1972,2006,1.0,1.0,2,1,0,Typ,6,5,TA,2Story,Detchd,1680,483.0,89000
1972,1972,2006,1.0,1.0,3,1,0,Typ,6,5,TA,2Story,Detchd,1680,525.0,108000
1972,1972,2006,1.0,1.0,2,1,1,Typ,6,5,TA,2Story,Attchd,1680,483.0,94500
1975,1975,2006,2.0,1.0,2,1,1,Typ,6,5,TA,1Story,Attchd,4043,1069.0,146300
1976,1976,2006,3.0,0.0,2,1,0,Typ,7,7,TA,1Story,Attchd,2280,1055.0,137500
1976,1976,2006,2.0,1.0,3,1,1,Typ,6,5,TA,2Story,Attchd,2179,855.0,144000
2005,2005,2006,3.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,7052,1364.0,185850
2005,2005,2006,3.0,0.0,2,1,1,Typ,9,5,Ex,1Story,Attchd,5911,1560.0,282500
2005,2006,2006,2.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,6955,1368.0,202500
2005,2006,2006,2.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,6792,1368.0,202665
2006,2006,2006,3.0,0.0,1,1,1,Typ,9,5,Ex,1Story,Attchd,7740,1686.0,332200
2006,2006,2006,3.0,0.0,2,1,1,Typ,9,5,Gd,1Story,Attchd,6373,1666.0,310090
2003,2003,2006,2.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3136,1405.0,171750
2006,2006,2006,3.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3087,1220.0,210250
2003,2004,2006,2.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3196,1374.0,234000
2003,2003,2006,2.0,0.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,3196,1273.0,215000
2002,2002,2006,3.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,2938,1368.0,246990
2004,2004,2006,2.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3072,1375.0,178740
2004,2004,2006,3.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3072,1365.0,225000
2005,2006,2006,2.0,0.0,2,1,0,Typ,7,5,Gd,1Story,Attchd,3010,1248.0,167240
2005,2006,2006,2.0,0.0,2,1,0,Typ,7,5,Gd,1Story,Attchd,3010,1142.0,156820
2005,2005,2006,2.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3013,1362.0,213490
2006,2006,2006,3.0,0.0,1,1,1,Typ,8,5,Ex,1Story,Attchd,3982,1520.0,264561
2006,2006,2006,3.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,4045,1356.0,246578
1990,1991,2006,3.0,0.0,2,1,0,Typ,6,5,Gd,1Story,Attchd,7175,1398.0,172000
1991,1991,2006,2.0,0.0,2,1,0,Typ,6,5,Gd,1Story,Attchd,7175,1217.0,151000
2004,2004,2006,1.0,1.0,1,1,1,Typ,7,5,Gd,1Story,Attchd,3628,1143.0,176400
2005,2005,2006,2.0,1.0,1,1,1,Typ,8,5,Gd,1Story,Attchd,3316,1247.0,197000
2005,2005,2006,2.0,1.0,2,1,0,Typ,7,5,Gd,2Story,Detchd,3180,600.0,151000
2005,2005,2006,2.0,1.0,2,1,0,Typ,7,5,Gd,2Story,Detchd,2544,600.0,147400
2005,2005,2006,2.0,1.0,2,1,0,Typ,7,5,Gd,2Story,Detchd,2544,600.0,149900
2005,2005,2006,2.0,1.0,2,1,0,Typ,7,5,Gd,2Story,Detchd,3180,600.0,144152
2000,2000,2006,2.0,1.0,2,1,0,Typ,6,5,Gd,2Story,Detchd,2998,756.0,166000
1999,1999,2006,3.0,1.0,3,1,0,Typ,7,5,Gd,2Story,Detchd,3735,691.0,183900
2000,2000,2006,3.0,1.0,3,1,0,Typ,7,5,Gd,2Story,Detchd,2651,673.0,165000
2003,2003,2006,2.0,1.0,2,1,0,Typ,7,5,Gd,2Story,Attchd,4447,530.0,139000
1995,1996,2006,2.0,1.0,2,1,1,Typ,8,5,Ex,1Story,Attchd,9549,1494.0,270000
1980,1980,2006,2.0,0.0,1,1,1,Typ,8,5,Gd,1Story,Detchd,3640,1036.0,188000
1980,1980,2006,2.0,0.0,1,1,1,Typ,8,5,Gd,1Story,Attchd,3874,1226.0,190000
1978,1978,2006,2.0,0.0,1,1,1,Typ,8,5,Gd,1Story,Attchd,3876,1226.0,170000
1993,1994,2006,2.0,1.0,3,1,0,Typ,6,5,TA,2Story,Detchd,3612,630.0,137000
2003,2003,2006,2.0,0.0,1,1,0,Typ,6,5,Gd,1Story,Attchd,4435,848.0,133000
2004,2004,2006,2.0,0.0,1,1,1,Typ,6,5,Gd,1Story,Attchd,4435,848.0,155900
2004,2005,2006,3.0,1.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,3842,1594.0,300000
1998,1998,2006,3.0,0.0,2,1,0,Typ,6,5,TA,1Story,Attchd,4500,1216.0,164000
1998,1998,2006,3.0,0.0,2,1,0,Typ,6,5,TA,1Story,Attchd,4500,1237.0,153500
